bs,seq,nh,nkv,hd,t_measured_ms
1,1,2,1,128,0.0480939634144306
1,1,4,4,128,0.0507179647684097
1,1,8,1,128,0.0496627762913703
1,1,8,4,64,0.0519352033734321
1,1,16,1,64,0.0461428426206111
1,1,16,2,128,0.0479659065604209
1,1,16,8,64,0.0467509962618351
1,1,32,1,128,0.0492152757942676
1,1,32,4,64,0.0476143322885036
1,1,32,8,128,0.0424310564994812
1,1,64,2,64,0.0435500405728817
1,1,64,4,128,0.0414070673286914
1,1,128,1,64,0.0433591194450855
1,1,128,2,128,0.0402871519327163
1,1,128,8,64,0.0420776195824146
1,2,2,1,128,0.0425269827246665
1,2,2,4,64,-1.0
1,2,2,8,64,-1.0
1,2,4,1,128,0.0437428243458271
1,2,4,4,64,0.0408953055739402
1,2,8,1,64,0.0415346585214138
1,2,8,2,128,0.0396147370338439
1,2,8,8,64,0.0392952933907508
1,2,16,1,128,0.0415993854403495
1,2,16,2,128,0.0412790104746818
1,2,16,8,128,0.043421983718872
1,2,32,1,128,0.0391979701817035
1,2,32,4,128,0.0413432717323303
1,2,64,1,64,0.0402550213038921
1,2,64,2,128,0.0405739992856979
1,2,64,8,128,0.0399029813706874
1,2,128,2,64,0.039583072066307
1,2,128,4,128,0.0410550273954868
1,4,2,1,128,0.0434229150414466
1,4,2,8,64,-1.0
1,4,4,2,64,0.0369907356798648
1,4,4,8,64,-1.0
1,4,8,2,64,0.0372789800167083
1,4,8,8,128,0.0354228541254997
1,4,16,2,128,0.0339187681674957
1,4,16,8,128,0.0368631444871425
1,4,32,2,128,0.0386550091207027
1,4,32,8,128,0.0394550152122974
1,4,64,2,128,0.0364147126674652
1,4,128,1,64,0.0350712798535823
1,4,128,4,64,0.0372468493878841
1,8,2,1,64,0.0366391614079475
1,8,2,4,64,-1.0
1,8,2,8,128,-1.0
1,8,4,2,128,0.0341106206178665
1,8,4,8,128,-1.0
1,8,8,2,128,0.0377590768039226
1,8,8,8,128,0.0352631323039531
1,8,16,2,128,0.0361907295882701
1,8,16,8,128,0.0359667465090751
1,8,32,2,128,0.0350391492247581
1,8,32,8,128,0.0369586050510406
1,8,64,2,128,0.0348147004842758
1,8,64,8,128,0.033118762075901
1,8,128,2,128,0.0371187925338745
1,8,128,8,128,0.0367029570043087
1,16,2,2,128,0.0338880345225334
1,16,2,8,128,-1.0
1,16,4,2,128,0.0355830416083335
1,16,4,8,128,-1.0
1,16,8,2,128,0.0355830416083335
1,16,8,8,128,0.0342070125043392
1,16,16,1,128,0.0351667404174804
1,16,16,8,128,0.034143216907978
1,16,32,2,128,0.0339508987963199
1,16,32,8,128,0.0342070125043392
1,16,64,2,128,0.0366070307791233
1,16,64,8,128,0.0379509292542934
1,16,128,2,128,0.0376631505787372
1,32,2,1,64,0.0353585928678512
1,32,2,2,128,0.0371509231626987
1,32,4,1,64,0.0368310138583183
1,32,4,2,128,0.0380147248506546
1,32,8,1,64,0.0349748879671096
1,32,8,4,128,0.0370228663086891
1,32,16,1,64,0.0365106388926506
1,32,16,4,128,0.0362549908459186
1,32,32,1,128,0.0368310138583183
1,32,32,4,128,0.036574900150299
1,32,64,1,128,0.0342708081007003
1,32,64,8,64,0.0353911891579628
1,32,128,2,128,0.0345907174050807
1,32,128,8,128,0.0343667343258857
1,64,2,4,64,-1.0
1,64,4,1,64,0.037407036870718
1,64,4,2,128,0.0323187559843063
1,64,4,8,128,-1.0
1,64,8,2,128,0.0351029448211193
1,64,8,8,128,0.0350386835634708
1,64,16,2,128,0.0316472724080085
1,64,16,8,128,0.0325432047247886
1,64,32,2,128,0.0317431986331939
1,64,32,8,128,0.0337911769747734
1,64,64,4,64,0.0326707959175109
1,64,128,2,64,0.035902950912714
1,64,128,4,128,0.0356151722371578
1,128,2,2,64,0.0313268974423408
1,128,2,8,64,-1.0
1,128,4,2,64,0.0330870971083641
1,128,4,8,64,-1.0
1,128,8,2,64,0.0344309955835342
1,128,8,8,128,0.0320952385663986
1,128,16,2,64,0.0335988588631153
1,128,16,4,128,0.0377912074327468
1,128,32,1,128,0.0340472906827926
1,128,32,8,64,0.0343029387295246
1,128,64,2,64,0.0359672121703624
1,128,64,8,64,0.0319029204547405
1,128,128,2,64,0.0338228419423103
1,128,128,4,128,0.0320947729051113
1,256,2,1,128,0.0508790835738182
1,256,4,8,128,-1.0
1,256,8,2,128,0.0576949678361415
1,256,8,8,128,0.0553913414478302
1,256,16,2,128,0.0525102950632572
1,256,16,8,128,0.0543990172445774
1,256,32,2,128,0.0555822625756263
1,256,32,8,128,0.0552618876099586
1,256,64,4,128,0.0494699925184249
1,256,128,2,64,0.0469419173896312
1,256,128,8,64,0.0544940121471881
1,512,2,2,64,0.0633900053799152
1,512,4,8,64,-1.0
1,512,8,2,64,0.0597741454839706
1,512,8,8,64,0.0566700473427772
1,512,16,2,64,0.0520949251949787
1,512,16,8,64,0.0555831938982009
1,512,32,2,64,0.0572148710489273
1,512,32,8,64,0.0455030240118503
1,512,64,1,128,0.0671660527586937
1,512,64,8,64,0.0557736493647098
1,512,128,2,64,0.0694701448082923
1,512,128,8,64,0.0741421245038509
1,1024,2,2,128,0.056861899793148
1,1024,4,1,64,0.0613420270383358
1,1024,4,4,128,0.0556139275431633
1,1024,8,2,64,0.0577908940613269
1,1024,8,8,128,0.0675818882882595
1,1024,16,2,128,0.0722859986126422
1,1024,16,8,64,0.0563501380383968
1,1024,32,2,64,0.0696619972586631
1,1024,32,8,64,0.0722859986126422
1,1024,64,2,64,0.1024287194013595
1,1024,64,8,128,0.15714718028903
1,1024,128,2,128,0.2703289501368999
1,2048,2,1,64,0.0539817847311496
1,2048,2,2,128,0.067517627030611
1,2048,2,8,128,-1.0
1,2048,4,2,128,0.084990169852972
1,2048,4,8,128,-1.0
1,2048,8,2,128,0.1015970483422279
1,2048,8,8,64,0.0717737711966037
1,2048,16,2,128,0.1515164040029049
1,2048,32,1,64,0.16457075253129
1,2048,32,4,64,0.160187017172575
1,2048,64,1,64,0.2934951335191726
1,2048,64,4,64,0.2863276749849319
1,2048,64,8,128,0.4667066968977451
1,2048,128,4,64,0.534961000084877
1,2048,128,8,128,0.8896058425307274
1,3358,4,2,128,0.1456597819924354
1,3358,4,8,128,-1.0
1,3358,8,2,128,0.2153539098799228
1,3358,16,1,64,0.2490486949682235
1,3358,16,4,64,0.2502971328794956
1,3358,32,1,64,0.416019931435585
1,3358,32,4,64,0.4237000830471515
1,3358,32,8,128,0.6623486988246441
1,3358,64,2,128,1.2415964156389236
1,3358,128,1,64,1.4997650869190693
1,3358,128,4,64,1.4643422327935696
1,3358,128,8,128,2.4743927642703056
1,4096,8,8,64,0.1641879789531231
1,4096,16,2,64,0.2955752424895763
1,4096,16,4,128,0.496850349009037
1,4096,32,2,64,0.5317293107509613
1,4096,32,4,128,0.8841985836625099
1,4096,64,2,64,1.0170908644795418
1,4096,64,4,128,1.798124983906746
1,4096,128,2,64,2.0845802500844
1,4096,128,4,128,3.7530120462179184
1,4553,4,2,64,0.1817219890654087
1,4553,4,4,128,0.2956078387796879
1,4553,8,2,64,0.2781040966510772
1,4553,8,4,64,0.2536890096962452
1,4553,16,1,64,0.3897170536220073
1,4553,16,2,128,0.6282059475779533
1,4553,32,1,64,0.6529409438371658
1,4553,32,4,64,0.6477260030806065
1,4553,32,8,128,1.0608662851154804
1,4553,64,2,128,2.302078064531088
1,4553,128,1,64,2.571159042418003
1,4553,128,4,64,2.590262331068516
1,4553,128,8,128,4.584989044815302
1,8192,8,4,128,0.9692199528217316
1,8192,16,2,64,1.025121659040451
1,8192,16,4,128,1.7871493473649025
1,8192,32,2,64,2.042949665337801
1,8192,32,4,128,3.703637979924679
