bs,seq,nh,nkv,hd,t_measured_ms
1,1,2,1,64,0.04924740642309189
1,1,4,2,64,0.04646182060241699
1,1,4,2,128,0.03811018541455269
1,1,4,4,64,0.041023362427949905
1,1,8,1,64,0.0454392284154892
1,1,8,2,128,0.04399893805384636
1,1,8,8,64,0.04531117156147957
1,1,16,1,128,0.039966776967048645
1,1,16,4,64,0.03903917968273163
1,1,16,8,128,0.03846222534775734
1,1,32,2,64,0.04076724871993065
1,1,32,4,128,0.03814278170466423
1,1,64,1,64,0.04070298746228218
1,1,64,2,128,0.042750034481287
1,1,64,8,64,0.040798913687467575
1,1,128,1,128,0.041215214878320694
1,1,128,4,64,0.040543265640735626
1,2,2,1,64,0.042046885937452316
1,2,2,2,128,0.03724684938788414
1,2,2,8,128,-1.0
1,2,4,2,64,0.03926269710063934
1,2,4,4,128,0.0368952751159668
1,2,4,8,128,-1.0
1,2,8,2,64,0.03663916140794754
1,2,8,4,128,0.039550941437482834
1,2,8,8,128,0.03868667408823967
1,2,16,2,64,0.03603100776672363
1,2,16,4,128,0.03775907680392265
1,2,32,1,64,0.037407036870718
1,2,32,2,128,0.03574322909116745
1,2,32,8,64,0.0352947972714901
1,2,64,1,128,0.03599934279918671
1,2,64,4,64,0.036191195249557495
1,2,128,1,64,0.03657490015029907
1,2,128,2,128,0.034463126212358475
1,2,128,8,128,0.03580702468752861
1,4,2,2,128,0.03622332587838173
1,4,4,1,64,0.03551878035068512
1,4,4,4,64,0.03683101385831833
1,4,4,8,128,-1.0
1,4,8,2,128,0.034943222999572754
1,4,8,4,128,0.03420701250433922
1,4,16,1,128,0.03343867138028145
1,4,16,4,128,0.032992102205753326
1,4,32,1,128,0.03558304160833359
1,4,32,4,128,0.03567896783351898
1,4,64,1,128,0.03449525684118271
1,4,64,4,128,0.03439886495471001
1,4,128,1,128,0.03539072349667549
1,4,128,4,128,0.035902950912714005
1,8,2,1,128,0.03270292654633522
1,8,2,4,128,-1.0
1,8,4,1,128,0.03443099558353424
1,8,4,4,128,0.03436673432588577
1,8,8,2,64,0.034623779356479645
1,8,8,8,64,0.03622286021709442
1,8,16,1,64,0.03071920946240425
1,8,16,4,64,0.03455905243754387
1,8,32,1,128,0.03270292654633522
1,8,32,4,64,0.03779074177145958
1,8,64,1,64,0.035774894058704376
1,8,64,4,64,0.03439886495471001
1,8,128,1,64,0.03311922773718834
1,8,128,4,64,0.03622286021709442
1,16,2,1,64,0.03414321690797806
1,16,2,4,64,-1.0
1,16,4,1,64,0.03753509372472763
1,16,4,4,64,0.03801519051194191
1,16,8,1,64,0.033023301512002945
