M,N,K,t_measured_ms
2,256,361,0.03579095937311649
2,256,16048,0.03455905243754387
2,512,256,0.030943425372242928
2,512,512,0.029263552278280258
2,512,790,0.0276956707239151
2,512,1144,0.03105541691184044
2,512,1743,0.03145495429635048
2,512,2048,0.031599076464772224
2,512,2509,0.03092736005783081
2,512,2510,0.03251153975725174
2,512,2826,0.034638913348317146
2,512,4096,0.033216318115592
2,512,4507,0.03177556209266186
2,512,5338,0.02927938476204872
2,512,6517,0.03281468525528908
2,512,6918,0.030398834496736526
2,512,7234,0.030655646696686745
2,512,8149,0.033999327570199966
2,512,8479,0.036943238228559494
2,512,8795,0.03635161556303501
2,512,8977,0.0359509140253067
2,512,9110,0.03079907037317753
2,512,10404,0.03163143992424011
2,512,10566,0.03163120709359646
2,512,10864,0.031695468351244926
2,512,11015,0.036654993891716
2,512,11354,0.03243144601583481
2,512,12379,0.03668735735118389
2,512,13249,0.0406710896641016
2,512,13681,0.039278995245695114
2,512,14925,0.04116701893508434
2,512,15919,0.040607061237096786
2,512,16135,0.04030298441648483
2,1024,256,0.027391593903303146
2,1024,512,0.02719927579164505
2,1024,790,0.02431892789900303
2,1024,1144,0.026975059881806374
2,1024,1743,0.029743416234850883
2,1024,2048,0.02913549542427063
2,1024,2287,0.03108684904873371
2,1024,2510,0.02777506597340107
2,1024,2826,0.027886824682354927
2,1024,4096,0.029871473088860512
2,1024,4507,0.033743446692824364
2,1024,5338,0.030174851417541504
2,1024,6201,0.03817537799477577
2,1024,6693,0.03732671029865742
2,1024,6937,0.037951162084937096
2,1024,7269,0.03969506360590458
2,1024,8192,0.030575087293982506
2,1024,8766,0.03291107714176178
2,1024,8968,0.030959490686655045
2,1024,8977,0.043391017243266106
2,1024,9110,0.03348733298480511
2,1024,10404,0.03379140980541706
2,1024,10566,0.03479910083115101
2,1024,10776,0.030575552955269814
2,1024,10864,0.029630959033966064
2,1024,10968,0.03023957833647728
2,1024,11015,0.04547112621366978
2,1024,11128,0.030527357012033463
2,1024,12102,0.036654993891716
2,1024,13014,0.03575906157493591
2,1024,13315,0.05014287307858467
2,1024,13856,0.031823525205254555
2,1024,15086,0.037983059883117676
2,1024,16048,0.03204750828444958
2,1024,16384,0.0324309803545475
2,1064,361,0.027663540095090866
2,1064,779,0.02795131877064705
2,1064,1024,0.02772756852209568
2,1064,1144,0.026847701519727707
2,1064,1743,0.028894981369376183
2,1064,2048,0.02785562537610531
2,1064,2287,0.03091106191277504
2,1064,2510,0.02721487544476986
2,1064,2826,0.02764747478067875
2,1064,4096,0.028655165806412697
2,1064,4507,0.03359955735504627
2,1064,5338,0.0316789373755455
2,1064,5756,0.03166333772242069
2,1064,6517,0.03734300844371319
2,1064,6918,0.03422354348003864
2,1064,7234,0.0339834950864315
2,1064,8149,0.04054303281009197
2,1064,8479,0.04267110489308834
2,1064,8795,0.040958868339657784
2,1064,8977,0.04219100810587406
2,1064,9110,0.036575598642230034
2,1064,10404,0.039119040593504906
2,1064,10566,0.039119040593504906
2,1064,10864,0.031967414543032646
2,1064,11015,0.04691071808338165
2,1064,11128,0.0323830172419548
2,1064,12102,0.04143919795751572
2,1064,13014,0.04193466156721115
2,1064,13315,0.051167095080018044
2,1064,13856,0.033983029425144196
2,1064,15086,0.04443107172846794
2,1064,16048,0.03542308695614338
2,1064,16384,0.03566360101103783
2,2048,361,0.028335489332675934
2,2048,779,0.026655616238713264
2,2048,1024,0.025392044335603714
2,2048,1205,0.02855900675058365
2,2048,1743,0.03139115869998932
2,2048,2048,0.025518937036395073
2,2048,2287,0.03273552283644676
2,2048,2510,0.03145495429635048
2,2048,2826,0.03172713331878185
2,2048,4096,0.0277108047157526
2,2048,4507,0.04361500032246113
2,2048,5338,0.03495905548334122
2,2048,5756,0.03521540202200413
2,2048,6517,0.052527058869600296
2,2048,6918,0.03787083551287651
2,2048,7234,0.038286903873085976
2,2048,8149,0.06143772043287754
2,2048,8479,0.06441539153456688
2,2048,8968,0.030606985092163086
2,2048,9110,0.040975166484713554
2,2048,10509,0.0739984679967165
2,2048,10776,0.032607000321149826
2,2048,11015,0.07817381992936134
2,2048,12102,0.04748650826513767
2,2048,13249,0.08612615056335926
2,2048,13856,0.04063895903527737
2,2048,15919,0.09910133667290211
2,2048,16384,0.044286949560046196
2,2634,361,0.028975075110793114
2,2634,790,0.024463515728712082
2,2634,1205,0.03439956344664097
2,2634,2108,0.037743011489510536
2,2634,2826,0.03999914042651653
2,2634,4133,0.05062250420451164
2,2634,5338,0.0467509962618351
2,2634,5756,0.05278224125504494
2,2634,6693,0.06004655733704567
2,2634,7234,0.05537457764148712
2,2634,8192,0.058702658861875534
2,2634,8795,0.0716939102858305
2,2634,9110,0.06179045885801315
2,2634,10404,0.06572669371962547
2,2634,10864,0.06731110624969006
2,2634,11128,0.06742263212800026
2,2634,12102,0.06897421553730965
2,2634,13249,0.09570945985615253
2,2634,15919,0.10026898235082626
2,2634,16384,0.08042994886636734
2,3474,512,0.030927592888474464
2,3474,1024,0.03219209611415863
2,3474,1743,0.04169507883489132
2,3474,2108,0.04015909507870674
2,3474,2510,0.0415346585214138
2,3474,3213,0.050302594900131226
2,3474,4133,0.05500670522451401
2,3474,4738,0.052558956667780876
2,3474,5647,0.06419094279408455
2,3474,6201,0.06794999353587627
2,3474,6918,0.060494523495435715
2,3474,7269,0.07431814447045326
2,3474,8479,0.08222204633057117
2,3474,8968,0.06902194581925869
2,3474,9110,0.06783846765756607
2,3474,10509,0.09335787035524845
2,3474,10864,0.07489393465220928
2,3474,11128,0.0772625207901001
2,3474,12379,0.10318122804164886
2,3474,13315,0.10486156679689884
2,3474,13856,0.07970980368554592
2,3474,15919,0.11604488827288151
2,3474,16384,0.08121412247419357
2,4096,512,0.0333273783326149
2,4096,1024,0.033711083233356476
2,4096,1743,0.044975196942687035
2,4096,2108,0.039887381717562675
2,4096,2510,0.040655024349689484
2,4096,3213,0.05340646021068096
2,4096,4507,0.06569502875208855
2,4096,5647,0.0735018402338028
2,4096,6693,0.0805421732366085
2,4096,7234,0.056606950238347054
2,4096,8192,0.05110236816108227
2,4096,8968,0.054398318752646446
2,4096,9075,0.09775743819773197
2,4096,10404,0.06751855835318565
2,4096,10776,0.05835038609802723
2,4096,11015,0.11351751163601875
2,4096,12102,0.07231789641082287
2,4096,13249,0.13054092414677143
2,4096,13856,0.06396602839231491
2,4096,15919,0.12556510046124458
2,4096,16384,0.07009459659457207
2,4686,361,0.030414899811148643
2,4686,5756,0.05542254075407982
2,4686,6918,0.06326241418719292
2,4686,7269,0.08347001858055592
2,4686,8766,0.06881379522383213
2,4686,9075,0.09583798237144947
2,4686,10566,0.07596611976623535
2,4686,11015,0.10942155495285988
2,4686,13014,0.08599809370934963
2,4686,13681,0.1282051671296358
2,4686,16048,0.09777327068150043
2,7220,256,0.03239884972572327
2,7220,790,0.03318325616419315
2,7220,1205,0.04388694651424885
2,7220,2108,0.046655070036649704
2,7220,2642,0.047342851758003235
2,7220,4507,0.09073363617062569
2,7220,5756,0.06614183075726032
2,7220,6918,0.0743658747524023
2,7220,8149,0.1384930219501257
2,7220,8795,0.14692451804876328
2,7220,9495,0.1592764165252447
2,7220,10776,0.0940137542784214
2,7220,11128,0.09660562500357628
2,7220,13014,0.10927743278443813
2,7220,13856,0.11497316882014275
2,7220,16048,0.125885009765625
2,8026,256,0.028671463951468468
2,8026,790,0.03409502096474171
2,8026,1743,0.05214288830757141
2,8026,2287,0.05820649676024914
2,8026,2826,0.050574541091918945
2,8026,4507,0.08482998237013817
2,8026,5756,0.06894185207784176
2,8026,6918,0.07681385613977909
2,8026,8149,0.12751691974699497
2,8026,8795,0.13711629435420036
2,8026,9495,0.14558061957359314
2,8026,10776,0.09969295933842659
2,8026,11128,0.10287761688232422
2,8026,13249,0.1923474483191967
2,8026,14925,0.2147627528756857
2,8026,16384,0.13782037422060966
2,8192,779,0.03713485784828663
2,8192,1205,0.04438287578523159
2,8192,2108,0.04553515464067459
2,8192,2826,0.04918267950415611
2,8192,4507,0.10137329809367657
2,8192,5756,0.0655024778097868
2,8192,6918,0.07353443652391434
2,8192,8149,0.157451955601573
2,8192,8968,0.07175793871283531
2,8192,9495,0.17978763207793236
2,8192,10864,0.07846206426620483
2,8192,11128,0.0792299397289753
2,8192,13249,0.236602034419775
2,8192,14925,0.2601377200335264
2,8192,16384,0.10110135190188885
2,8981,790,0.03779144026339054
2,8981,1743,0.05401461385190487
2,8981,2108,0.06079929880797863
2,8981,2642,0.07041473872959614
2,8981,4507,0.09716534987092018
2,8981,5756,0.1134208869189024
2,8981,6918,0.12986897490918636
2,8981,8149,0.14785234816372395
2,8981,8795,0.15956396237015724
2,8981,9110,0.16145175322890282
2,8981,10566,0.18402701243758202
2,8981,11015,0.19157887436449528
2,8981,12379,0.20981905981898308
2,8981,13681,0.22905063815414906
2,8981,15919,0.26109698228538036
2,11223,361,0.030863331630825996
2,11223,790,0.038478756323456764
2,11223,1907,0.06940658204257488
2,11223,2287,0.07842970080673695
2,11223,2826,0.09066984057426453
2,11223,4507,0.11807749979197979
2,11223,6201,0.15164446085691452
2,11223,6937,0.16346783377230167
2,11223,8479,0.18905079923570156
2,11223,8977,0.20021875388920307
2,11223,10509,0.2278345637023449
2,11223,10968,0.24186610244214535
2,11223,12102,0.2488901372998953
2,11223,13315,0.27500069700181484
2,11223,15086,0.304120359942317
2,11223,16384,0.31570508144795895
2,11905,1144,0.04716729745268822
2,11905,2048,0.09306962601840496
2,11905,2642,0.08705304935574532
2,11905,4738,0.12119696475565434
2,11905,6201,0.15159603208303452
2,11905,6937,0.16053998842835426
2,11905,8192,0.18479535356163979
2,11905,8968,0.20041107200086117
2,11905,9495,0.20887493155896664
2,11905,10776,0.23490609601140022
2,11905,11128,0.24200999177992344
2,11905,13014,0.28642499819397926
2,11905,13856,0.295368954539299
2,11905,16048,0.3304558340460062
2,11982,361,0.03219093196094036
2,11982,1024,0.04107109270989895
2,11982,1907,0.08082995191216469
2,11982,2287,0.07839803583920002
2,11982,2826,0.06518210284411907
2,11982,4507,0.1161256805062294
2,11982,6517,0.151356915012002
2,11982,7234,0.10943692177534103
2,11982,8192,0.1214051153510809
2,11982,8968,0.12849317863583565
2,11982,9495,0.20647491328418255
2,11982,10776,0.1490684226155281
2,11982,11128,0.1504765823483467
2,11982,13249,0.28711301274597645
2,11982,14925,0.3170005511492491
2,11982,16384,0.20831497386097908
2,13695,779,0.03841519355773926
2,13695,1205,0.046430621296167374
2,13695,2108,0.10039727203547955
2,13695,2826,0.0939501915127039
2,13695,4507,0.12758048251271248
2,13695,5756,0.15359674580395222
2,13695,6937,0.17780344933271408
2,13695,8192,0.2038991078734398
2,13695,8968,0.22332253865897655
2,13695,9495,0.23209000937640667
2,13695,10776,0.25805807672441006
2,13695,11128,0.26493752375245094
2,13695,13014,0.30317623168230057
2,13695,13856,0.32379990443587303
2,13695,16048,0.36357552744448185
2,13914,361,0.029742950573563576
2,13914,1144,0.048223184421658516
2,13914,2048,0.05891104228794575
2,13914,2509,0.08473359048366547
2,13914,4096,0.0845578033477068
2,13914,5338,0.10055722668766975
2,13914,6517,0.16385200433433056
2,13914,7234,0.11682906188070774
2,13914,8479,0.20761066116392612
2,13914,9075,0.22042682394385338
2,13914,10509,0.2478018868714571
2,13914,11015,0.2546014729887247
2,13914,13014,0.1869387924671173
2,13914,13681,0.3109679091721773
2,13914,16048,0.22031436674296856
2,14688,256,0.03335881046950817
2,14688,790,0.03766315057873726
2,14688,1743,0.08663814514875412
2,14688,2287,0.10916520841419697
2,14688,2826,0.06630248390138149
2,14688,4507,0.18740352243185043
2,14688,5756,0.10297284461557865
2,14688,6693,0.2633689437061548
2,14688,8149,0.31576817855238914
2,14688,8968,0.10539009235799313
2,14688,9110,0.1339167356491089
2,14688,10509,0.3953177947551012
2,14688,11128,0.12418883852660656
2,14688,12379,0.46382867731153965
2,14688,13856,0.1470525749027729
2,14688,15919,0.5873299669474363
2,16384,361,0.028975773602724075
2,16384,790,0.03785500302910805
2,16384,1743,0.08735759183764458
2,16384,2287,0.10681315325200558
2,16384,2826,0.0660622026771307
2,16384,4507,0.1844591461122036
2,16384,6201,0.246681971475482
2,16384,6937,0.2712896093726158
2,16384,8479,0.32637594267725945
2,16384,9075,0.34651951864361763
2,16384,10566,0.14879717491567135
2,16384,10968,0.12570898979902267
2,16384,12379,0.4616843070834875
2,16384,13856,0.15164446085691452
2,16384,15086,0.20081130787730217
2,16698,256,0.03095925785601139
2,16698,361,0.028671463951468468
2,16698,779,0.03292690962553024
2,16698,1205,0.049054622650146484
2,16698,2108,0.06137462332844734
2,16698,2642,0.06843009032309055
2,16698,4133,0.17532333731651306
2,16698,5647,0.22601010277867317
2,16698,6693,0.26160944253206253
2,16698,8149,0.31239306554198265
2,16698,8795,0.336839584633708
2,16698,9495,0.3629832062870264
2,16698,10864,0.17532403580844402
2,16698,12102,0.19380333833396435
2,16698,13315,0.4941162187606096
2,16698,15086,0.2298019826412201
2,16698,16135,0.5982250440865755
2,22485,1205,0.07028598338365555
2,22485,2108,0.10249344632029533
2,22485,2642,0.1214051153510809
2,22485,4507,0.18837954849004745
2,22485,5756,0.2311465796083212
2,22485,6918,0.27215294539928436
2,22485,8149,0.3173204604536295
2,22485,8795,0.34255138598382473
2,22485,9110,0.3497833386063576
2,22485,10566,0.40755770169198513
2,22485,11015,0.42074150405824184
2,22485,12379,0.4687884356826544
2,22485,13681,0.5149475764483213
2,22485,16048,0.599058112129569
2,23469,361,0.028607435524463654
2,23469,790,0.03931112587451935
2,23469,1743,0.08929404430091381
2,23469,2287,0.10767718777060509
2,23469,2826,0.127340666949749
2,23469,4507,0.18780305981636047
2,23469,5756,0.23330654948949814
2,23469,6918,0.2738970797508955
2,23469,8149,0.31989626586437225
2,23469,8795,0.3418480046093464
2,23469,9110,0.3545836079865694
2,23469,10566,0.4064540844410658
2,23469,11015,0.42485399171710014
2,23469,12379,0.4714925307780504
2,23469,13681,0.5177473649382591
2,23469,15919,0.6010574288666248
2,24548,361,0.032239360734820366
2,24548,790,0.038910889998078346
2,24548,1205,0.0700782984495163
2,24548,2108,0.10540476068854332
2,24548,2642,0.122876837849617
2,24548,4133,0.17463602125644684
2,24548,5647,0.23241061717271805
2,24548,6918,0.1756753772497177
2,24548,7269,0.28968905098736286
2,24548,8766,0.2157387789338827
2,24548,9075,0.3531915135681629
2,24548,10509,0.4066620022058487
2,24548,11015,0.42298133485019207
2,24548,13249,0.5063079297542572
2,24548,14925,0.5659540183842182
2,24548,16384,0.3786624874919653
2,24807,779,0.03795092925429344
2,24807,1205,0.06979051977396011
2,24807,2287,0.10924483649432659
2,24807,2826,0.12706895358860493
2,24807,4507,0.1892757136374712
2,24807,5756,0.2351938746869564
2,24807,6918,0.2781376242637634
2,24807,8149,0.3217039629817009
2,24807,8795,0.3456557169556618
2,24807,9110,0.35763997584581375
2,24807,10566,0.41074189357459545
2,24807,11015,0.4261175636202097
2,24807,12379,0.4757479764521122
2,24807,13681,0.5225948989391327
2,24807,15919,0.6010090000927448
2,25346,256,0.028239330276846886
2,25346,361,0.02943933941423893
2,25346,779,0.039662932977080345
2,25346,1205,0.06830273196101189
2,25346,2108,0.07116608321666718
2,25346,2642,0.08343788795173168
2,25346,4133,0.1742839813232422
2,25346,5647,0.2318506594747305
2,25346,6918,0.1754513941705227
2,25346,7269,0.29116077348589897
2,25346,8766,0.21748244762420654
2,25346,9075,0.3536876756697893
2,25346,10566,0.2545539755374193
2,25346,10968,0.26548164896667004
2,25346,12102,0.2894164063036442
2,25346,13315,0.5121629219502211
2,25346,15086,0.3293040208518505
2,25346,16384,0.3525193314999342
2,25832,1024,0.04379125311970711
2,25832,1743,0.0878218561410904
2,25832,2510,0.08110189810395241
2,25832,4096,0.09225402027368546
2,25832,5338,0.14444394037127495
2,25832,6201,0.25111320428550243
2,25832,6937,0.27682515792548656
2,25832,8479,0.33747940324246883
2,25832,8977,0.3521356265991926
2,25832,10404,0.25812210515141487
2,25832,10864,0.20151492208242416
2,25832,11354,0.2820407971739769
2,25832,13249,0.5086916498839855
2,25832,14925,0.5688180681318045
2,25832,16384,0.2881044056266546
2,26195,1024,0.062382081523537636
2,26195,1743,0.08793408051133156
2,26195,2287,0.10852562263607979
2,26195,2826,0.12770877219736576
2,26195,4507,0.19001145847141743
2,26195,5756,0.23536989465355873
2,26195,6918,0.2790170256048441
2,26195,8149,0.3241200465708971
2,26195,8968,0.35455101169645786
2,26195,9110,0.3601349890232086
2,26195,10566,0.41242153383791447
2,26195,11015,0.4314135294407606
2,26195,12379,0.4795885179191828
2,26195,13681,0.5251229740679264
2,26195,16048,0.6123208440840244
2,26362,361,0.029679154977202415
2,26362,790,0.04371092654764652
2,26362,1743,0.08946936577558517
2,26362,2287,0.11014076881110668
2,26362,2826,0.12842915020883083
